trees,accuracy
15,97.11934156378601
15,97.22222222222221
15,97.0679012345679
15,97.7366255144033
15,97.7880658436214
17,97.45370370370371
17,97.86522633744856
17,97.68518518518519
17,97.53086419753086
17,97.99382716049382
19,97.76234567901234
19,97.45370370370371
19,97.65946502057614
19,97.53086419753086
19,98.07098765432099
21,97.89094650205762
21,97.96810699588477
21,97.45370370370371
21,98.17386831275721
21,97.24794238683128
23,97.58230452674897
23,98.14814814814815
23,97.47942386831275
23,97.68518518518519
23,97.68518518518519
25,98.07098765432099
25,97.89094650205762
25,98.19958847736625
25,97.81378600823045
25,98.30246913580247
27,98.07098765432099
27,97.89094650205762
27,97.91666666666666
27,98.4567901234568
27,98.25102880658436
29,98.09670781893004
29,97.91666666666666
29,98.14814814814815
29,98.37962962962963
29,98.01954732510289
31,97.96810699588477
31,98.14814814814815
31,98.25102880658436
31,97.96810699588477
31,98.2253086419753
33,98.2253086419753
33,98.30246913580247
33,98.63683127572016
33,98.43106995884774
33,98.30246913580247
35,98.48251028806584
35,98.53395061728395
35,98.2253086419753
35,98.1224279835391
35,98.68827160493827
37,98.30246913580247
37,98.30246913580247
37,98.19958847736625
37,98.04526748971193
37,98.14814814814815
39,98.559670781893
39,98.37962962962963
39,98.14814814814815
39,98.4567901234568
39,98.40534979423869
41,98.37962962962963
41,98.27674897119341
41,98.09670781893004
41,98.04526748971193
41,98.37962962962963
43,98.43106995884774
43,98.17386831275721
43,98.04526748971193
43,98.5082304526749
43,98.37962962962963
45,98.30246913580247
45,98.53395061728395
45,98.35390946502058
45,98.40534979423869
45,98.61111111111111
47,98.53395061728395
47,98.4567901234568
47,98.48251028806584
47,98.559670781893
47,98.07098765432099
49,98.5082304526749
49,98.35390946502058
49,98.9454732510288
49,98.559670781893
49,98.68827160493827
